iter	Passed	Remaining
0	163	163440
1	165	82666
2	168	56057
3	171	42781
4	174	34821
5	177	29421
6	179	25504
7	180	22417
8	182	20141
9	185	18348
10	187	16823
11	189	15576
12	190	14493
13	191	13519
14	193	12679
15	194	11952
16	195	11310
17	196	10730
18	197	10189
19	198	9715
20	199	9304
21	200	8932
22	201	8568
23	202	8226
24	202	7910
25	203	7624
26	204	7362
27	205	7119
28	205	6890
29	206	6675
30	207	6472
31	207	6281
32	208	6101
33	208	5929
34	209	5767
35	210	5623
36	210	5483
37	211	5355
38	212	5228
39	212	5104
40	213	4990
41	214	4885
42	214	4783
43	215	4686
44	216	4590
45	216	4498
46	217	4408
47	218	4326
48	218	4245
49	219	4169
50	220	4097
51	220	4026
52	221	3957
53	222	3891
54	222	3827
55	223	3766
56	223	3705
57	224	3648
58	225	3590
59	225	3534
60	226	3480
61	226	3427
62	227	3377
63	227	3328
64	228	3281
65	229	3241
66	230	3202
67	230	3162
68	231	3125
69	232	3085
70	232	3045
71	233	3006
72	234	2971
73	234	2937
74	235	2906
75	236	2872
76	236	2839
77	237	2807
78	238	2775
79	238	2745
80	239	2716
81	239	2686
82	240	2653
83	240	2624
84	241	2596
85	241	2568
86	242	2543
87	243	2519
88	243	2496
89	244	2473
90	245	2451
91	246	2429
92	246	2405
93	247	2382
94	248	2363
95	249	2346
96	249	2326
97	250	2306
98	251	2286
99	251	2266
100	252	2246
101	252	2226
102	253	2206
103	253	2186
104	254	2170
105	255	2152
106	256	2138
107	256	2120
108	257	2102
109	257	2085
110	258	2069
111	259	2055
112	259	2040
113	261	2030
114	262	2016
115	262	2002
116	263	1986
117	263	1970
118	264	1955
119	264	1941
120	265	1927
121	265	1911
122	266	1897
123	266	1883
124	267	1869
125	272	1891
126	273	1876
127	273	1866
128	274	1855
129	275	1844
130	276	1832
131	276	1820
132	277	1808
133	277	1796
134	278	1783
135	278	1771
136	279	1759
137	279	1748
138	280	1737
139	281	1726
140	281	1716
141	282	1704
142	282	1693
143	283	1682
144	283	1671
145	284	1661
146	284	1650
147	284	1640
148	285	1630
149	285	1620
150	286	1612
151	287	1604
152	288	1595
153	288	1586
154	289	1577
155	290	1569
156	291	1563
157	291	1554
158	292	1546
159	292	1537
160	293	1529
161	294	1522
162	294	1513
163	295	1506
164	295	1497
165	296	1489
166	296	1481
167	297	1472
168	297	1464
169	298	1457
170	299	1449
171	299	1442
172	300	1437
173	301	1429
174	301	1422
175	302	1414
176	302	1407
177	303	1400
178	303	1393
179	304	1386
180	305	1383
181	307	1381
182	308	1375
183	308	1368
184	309	1361
185	309	1355
186	310	1348
187	310	1341
188	311	1335
189	311	1328
190	312	1322
191	312	1316
192	313	1310
193	313	1304
194	314	1298
195	314	1291
196	315	1285
197	315	1279
198	316	1273
199	316	1267
200	317	1261
201	317	1256
202	318	1250
203	319	1245
204	320	1241
205	320	1236
206	321	1232
207	322	1228
208	323	1224
209	324	1219
210	324	1214
211	325	1211
212	326	1206
213	327	1201
214	327	1197
215	328	1192
216	329	1187
217	329	1182
218	330	1178
219	331	1174
220	331	1170
221	332	1165
222	333	1161
223	333	1156
224	334	1151
225	334	1146
226	335	1143
227	336	1139
228	336	1134
229	337	1130
230	338	1127
231	339	1123
232	339	1118
233	340	1114
234	341	1110
235	341	1107
236	342	1103
237	343	1098
238	343	1095
239	344	1091
240	345	1087
241	345	1083
242	346	1078
243	346	1074
244	347	1070
245	347	1065
246	348	1061
247	348	1056
248	349	1052
249	349	1049
250	350	1046
251	351	1043
252	352	1040
253	353	1037
254	353	1033
255	354	1030
256	354	1026
257	355	1022
258	356	1018
259	356	1015
260	357	1012
261	358	1009
262	358	1005
263	359	1002
264	360	999
265	360	995
266	361	991
267	361	987
268	362	984
269	362	981
270	363	977
271	363	973
272	364	970
273	365	967
274	366	965
275	366	962
276	367	959
277	368	957
278	369	955
279	370	952
280	371	950
281	372	947
282	372	944
283	373	941
284	374	938
285	375	936
286	375	933
287	376	931
288	377	929
289	378	926
290	378	923
291	379	920
292	380	918
293	381	915
294	382	914
295	383	912
296	384	909
297	384	906
298	385	903
299	386	900
300	386	898
301	388	896
302	388	894
303	389	891
304	390	888
305	390	886
306	391	883
307	392	881
308	392	878
309	393	876
310	394	873
311	395	871
312	396	869
313	396	867
314	398	865
315	399	864
316	400	862
317	401	860
318	401	857
319	402	855
320	403	852
321	403	850
322	404	848
323	405	846
324	442	919
325	448	926
326	450	928
327	451	925
328	452	923
329	453	920
330	453	917
331	454	914
332	455	911
333	455	908
334	456	906
335	457	903
336	457	900
337	458	898
338	459	896
339	460	894
340	461	892
341	462	890
342	463	887
343	464	885
344	465	884
345	466	882
346	468	880
347	469	879
348	470	877
349	471	876
350	472	874
351	473	871
352	474	870
353	475	867
354	476	865
355	476	862
356	477	859
357	478	857
358	478	855
359	479	852
360	480	850
361	481	847
362	481	845
363	482	842
364	482	840
365	483	837
366	484	834
367	484	832
368	485	830
369	486	827
370	487	826
371	488	824
372	489	822
373	490	820
374	490	817
375	491	815
376	491	812
377	492	809
378	492	807
379	493	805
380	494	803
381	495	800
382	495	798
383	496	796
384	496	793
385	497	791
386	498	789
387	498	786
388	499	783
389	499	781
390	500	778
391	500	776
392	501	773
393	501	771
394	502	769
395	503	768
396	504	766
397	505	765
398	506	763
399	507	761
400	508	759
401	509	757
402	509	755
403	510	753
404	511	750
405	511	748
406	512	746
407	513	744
408	513	742
409	514	740
410	514	737
411	515	735
412	516	733
413	517	731
414	517	730
415	518	728
416	519	726
417	520	724
418	520	722
419	521	719
420	521	717
421	522	715
422	522	713
423	523	711
424	524	709
425	525	707
426	525	705
427	526	703
428	526	701
429	527	699
430	528	697
431	529	695
432	529	693
433	530	691
434	530	689
435	531	687
436	532	685
437	533	684
438	534	682
439	534	680
440	535	678
441	535	676
442	536	674
443	537	672
444	537	670
445	538	669
446	539	667
447	540	665
448	540	663
449	541	661
450	541	659
451	542	657
452	543	655
453	543	654
454	544	652
455	544	650
456	545	648
457	546	646
458	547	644
459	547	643
460	548	641
461	549	639
462	549	637
463	550	635
464	550	633
465	551	631
466	551	629
467	552	628
468	553	626
469	554	624
470	554	623
471	555	621
472	556	619
473	556	618
474	557	616
475	558	614
476	558	612
477	559	610
478	559	608
479	560	606
480	561	605
481	561	603
482	562	602
483	563	600
484	564	599
485	564	597
486	565	595
487	565	593
488	566	591
489	567	590
490	567	588
491	568	586
492	569	585
493	569	583
494	570	581
495	571	580
496	571	578
497	572	576
498	573	575
499	573	573
500	574	571
501	574	570
502	575	568
503	576	566
504	576	565
505	577	564
506	578	562
507	579	561
508	579	559
509	580	557
510	580	555
511	581	554
512	582	552
513	583	551
514	583	549
515	584	548
516	585	546
517	585	545
518	586	543
519	587	542
520	587	540
521	588	539
522	589	537
523	589	535
524	590	533
525	590	532
526	591	531
527	592	529
528	593	528
529	593	526
530	594	525
531	594	523
532	595	521
533	596	520
534	596	518
535	597	517
536	598	515
537	598	514
538	599	512
539	600	511
540	600	509
541	601	508
542	602	507
543	603	505
544	604	504
545	604	503
546	606	501
547	607	500
548	607	499
549	608	497
550	609	496
551	610	495
552	610	493
553	611	492
554	612	490
555	613	489
556	613	488
557	614	486
558	615	485
559	615	483
560	616	482
561	616	480
562	617	479
563	617	477
564	618	476
565	618	474
566	619	473
567	620	471
568	621	470
569	622	469
570	623	468
571	624	466
572	624	465
573	625	464
574	626	462
575	626	461
576	627	460
577	628	458
578	628	457
579	629	455
580	629	454
581	630	452
582	631	451
583	631	449
584	632	448
585	632	446
586	633	445
587	633	444
588	634	442
589	635	441
590	636	440
591	637	439
592	638	438
593	639	436
594	639	435
595	640	433
596	640	432
597	641	431
598	641	429
599	642	428
600	643	426
601	643	425
602	644	424
603	645	423
604	646	421
605	646	420
606	647	419
607	648	417
608	648	416
609	649	414
610	649	413
611	650	412
612	651	411
613	651	409
614	652	408
615	653	407
616	654	406
617	655	404
618	655	403
619	656	402
620	656	400
621	657	399
622	658	398
623	658	396
624	659	395
625	660	394
626	660	393
627	661	391
628	662	390
629	662	389
630	663	387
631	663	386
632	664	385
633	665	384
634	665	382
635	666	381
636	667	380
637	667	378
638	668	377
639	669	376
640	669	375
641	670	373
642	671	372
643	671	371
644	672	370
645	673	368
646	673	367
647	674	366
648	674	364
649	675	363
650	675	362
651	676	360
652	676	359
653	677	358
654	678	357
655	678	355
656	679	354
657	679	353
658	680	352
659	681	351
660	682	349
661	682	348
662	683	347
663	684	346
664	684	344
665	685	343
666	686	342
667	686	341
668	686	339
669	687	338
670	687	337
671	688	336
672	688	334
673	689	333
674	690	332
675	691	331
676	691	329
677	692	328
678	692	327
679	693	326
680	693	324
681	693	323
682	694	322
683	695	321
684	696	320
685	697	319
686	698	318
687	698	316
688	699	315
689	700	314
690	700	313
691	701	312
692	701	310
693	702	309
694	702	308
695	703	307
696	703	305
697	704	304
698	704	303
699	705	302
700	705	301
701	706	299
702	707	298
703	707	297
704	707	296
705	708	295
706	709	294
707	710	292
708	711	291
709	712	290
710	712	289
711	713	288
712	714	287
713	714	286
714	715	285
715	715	283
716	716	282
717	716	281
718	717	280
719	717	279
720	718	277
721	718	276
722	719	275
723	719	274
724	720	273
725	720	271
726	721	270
727	721	269
728	722	268
729	722	267
730	723	266
731	723	264
732	724	263
733	724	262
734	725	261
735	725	260
736	726	259
737	727	258
738	728	257
739	728	256
740	729	254
741	730	253
742	730	252
743	731	251
744	732	250
745	732	249
746	733	248
747	734	247
748	735	246
749	735	245
750	736	244
751	736	242
752	737	241
753	737	240
754	738	239
755	738	238
756	739	237
757	739	236
758	741	235
759	742	234
760	743	233
761	744	232
762	745	231
763	745	230
764	746	229
765	747	228
766	748	227
767	749	226
768	749	225
769	750	224
770	750	223
771	751	221
772	752	220
773	753	219
774	754	218
775	754	217
776	755	216
777	756	215
778	757	214
779	758	213
780	759	213
781	760	212
782	761	210
783	762	209
784	762	208
785	763	207
786	764	206
787	764	205
788	765	204
789	766	203
790	767	202
791	767	201
792	768	200
793	768	199
794	769	198
795	769	197
796	770	196
797	771	195
798	772	194
799	773	193
800	774	192
801	775	191
802	775	190
803	776	189
804	777	188
805	777	187
806	778	186
807	778	185
808	779	184
809	780	183
810	781	182
811	782	181
812	782	180
813	783	179
814	784	178
815	784	176
816	785	176
817	786	175
818	787	174
819	788	173
820	789	172
821	790	171
822	791	170
823	792	169
824	792	168
825	793	167
826	794	166
827	795	165
828	795	164
829	796	163
830	797	162
831	797	161
832	798	160
833	799	159
834	799	158
835	800	156
836	801	155
837	802	155
838	804	154
839	805	153
840	805	152
841	806	151
842	807	150
843	807	149
844	808	148
845	809	147
846	810	146
847	810	145
848	811	144
849	811	143
850	812	142
851	812	141
852	813	140
853	813	139
854	813	138
855	814	137
856	814	135
857	815	134
858	816	133
859	817	133
860	817	132
861	819	131
862	819	130
863	820	129
864	821	128
865	821	127
866	822	126
867	823	125
868	823	124
869	824	123
870	825	122
871	826	121
872	827	120
873	827	119
874	828	118
875	828	117
876	829	116
877	829	115
878	830	114
879	830	113
880	831	112
881	832	111
882	833	110
883	834	109
884	835	108
885	835	107
886	836	106
887	836	105
888	837	104
889	837	103
890	838	102
891	838	101
892	839	100
893	839	99
894	840	98
895	840	97
896	840	96
897	841	95
898	841	94
899	842	93
900	842	92
901	843	91
902	844	90
903	844	89
904	845	88
905	846	87
906	846	86
907	847	85
908	848	84
909	849	84
910	850	83
911	850	82
912	851	81
913	852	80
914	852	79
915	853	78
916	854	77
917	854	76
918	855	75
919	855	74
920	856	73
921	856	72
922	857	71
923	857	70
924	858	69
925	858	68
926	859	67
927	859	66
928	860	65
929	860	64
930	861	63
931	861	62
932	863	61
933	864	61
934	865	60
935	865	59
936	866	58
937	867	57
938	867	56
939	868	55
940	869	54
941	870	53
942	870	52
943	871	51
944	872	50
945	872	49
946	873	48
947	873	47
948	873	46
949	874	46
950	874	45
951	875	44
952	876	43
953	877	42
954	878	41
955	879	40
956	879	39
957	880	38
958	881	37
959	881	36
960	882	35
961	883	34
962	884	33
963	885	33
964	885	32
965	886	31
966	887	30
967	887	29
968	888	28
969	889	27
970	889	26
971	890	25
972	891	24
973	892	23
974	893	22
975	893	21
976	894	21
977	895	20
978	896	19
979	896	18
980	897	17
981	898	16
982	898	15
983	899	14
984	900	13
985	900	12
986	901	11
987	902	10
988	903	10
989	904	9
990	904	8
991	905	7
992	906	6
993	908	5
994	909	4
995	910	3
996	910	2
997	911	1
998	912	0
999	912	0
